title,product_price,special_price,stock_status,brand,product_model,warranty,short_description,chipset,memory,storage,battery,operating_system,color
ASUS VIVOBOOK PRO 15 M3500QC 15.6 INCH FULL HD WV DISPLAY RYZEN 9 5900HX 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 4GB GRAPHICS,"162,000৳","141,499৳",In Stock,Asus,15 OLED M3500QC,2 Years,"['AMD Ryzen 9 5900HX Processor', '16GB DDR4 RAM | 512GB PCIe SSD', '15.6"" 1920 x 1080 FHD Display', 'NVIDIA GeForce RTX 3050 (4GB GDDR6)']",Intel Integrated SoC,16GB DDR4 Onboard,512GBM.2 NVMe PCIe 3.0 SSD,"63WHrs, 3S1P, 3-Cell Li-Ion",Windows 10 64-Bit,Quiet Blue
ASUS VivoBook 15 X515EA 15.6 Inch Full HD Display Core I3 11th Gen 8GB RAM 512GB SSD Laptop (Peacock Blue),"59,500৳","141,499৳",In Stock,Asus,VivoBook 15 X515EA,2 Years,"['Intel Core i3-1115G4 Processor ', '8GB DDR4 RAM', '512GB PCI-E G3 SSD', '15.6"" FHD LED Display']",Intel Integrated SoC,8GB DDR4 3200MHz SDRAM,512GB PCI-E G3 SSD (Extra HDD Slot Available),"37WHrs, 2S1P, 2-Cell Li-Ion",Windows 10,Peacock Blue
ASUS VIVOBOOK 15 X1504VA CORE I7 13TH GEN 15.6 FULL HD DISPLAY 16GB RAM 512GB SSD QUIET BLUE LAPTOP (X1504VA-NJ263W),"114,000৳","113,500৳",In Stock,Asus,Vivobook 15 X1504VA,2 Year'S,"['15.6 Full HD Display', 'Intel Core I7 1355U', 'Memory 16GB Ram', 'Storage 512GB SSD']",Intel Integrated SoC,"8GB DDR4 On Board
8GB DDR4 SO-DIMM",512GB PCI-E G3 SSD (Extra HDD Slot Available),"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 11 Home,Quiet Blue
ASUS VIVOBOOK 15 X1504VA CORE I5 13TH GEN 15.6 FULL HD DISPLAY 8GB RAM 512GB SSD QUIET BLUE LAPTOP #X1504VA-NJ261W,"89,500৳","89,000৳",In Stock,Asus,Vivobook 15 X1504VA,2 Year'S,"['15.6 Full HD Display', 'Intel Core I5 1335U', 'Memory 8GB Ram', 'Storage 512GB SSD']",Intel Integrated SoC,8GB DDR4,512GB M.2 NVMe PCIe 3.0 SSD,"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 11 Home,Quiet Blue
Asus VivoBook 14 X415EA 14 Inch Full HD Display Core I3 11th Gen 4GB RAM 256GB SSD Laptop (Slate Grey),"57,000৳","55,000৳",In Stock,Asus,VivoBook 14 X415EA,2 Years,"['Intel Core i3-1115G4 Processor', '4GB DDR4 RAM', '256GB PCIEG3 SSD', '14.0” FHD (1920X1080) Display']",Intel Integrated SoC,4GB DDR4 3200MHZ RAM (Extra Ram Slot Available),256GB PCIEG3 SSD (Extra HDD Slot Available),"37WHrs, 2S1P, 2-Cell Li-Ion Plug Type:Ø4 (Mm)",Windows 11 Home,Slate Grey
Asus VivoBook 14 X1400EA 14 Full HD Display Core I3 11th Gen 8GB RAM 512GB SSD Laptop,"60,000৳","57,500৳",In Stock,Asus,VivoBook 14 X1400EA,2 Years,"['Intel Core i3-1115G4 Processor ', '8GB DDR4 RAM', '512GB M.2 NVMe PCIe 3.0 SSD', '14"" FHD LED Display']",Intel Integrated SoC,8GB DDR4 3200MHz SDRAM (Extra Ram Slot Available),512GB M.2 NVMe PCIe 3.0 SSD,"37WHrs, 2S1P, 2-Cell Li-Ion",Windows 11,Indie Black
ASUS TUF GAMING F15 FX507Z 15.6 INCH FULL HD 144HZ DISPLAY CORE I7 12TH GEN 16GB RAM 1TB SSD GAMING LAPTOP WITH RTX4070 8GB GRAPHICS,"210,000৳","197,000৳",In Stock,Asus,TUF GAMING F15 FX507Z,2 Years,"['Intel Core i7-12700H Processor ', '16GB DDR4 | 512GB SSD', '15.6"" Full HD 144Hz Display', 'RTX 4070 8GB GDDR6 Graphics']",Intel Integrated SoC,16GB DDR4 3200MHZ RAM,1TB M.2 NVMe PCIe GEN-4 SSD (EXTRA SSD SLOT AVAILABLE),"90WHrs, 4S1P, 4-Cell Li-Ion, TYPE-C FAST CHARGING",Windows 11 Home,Jaeger Gray
ASUS TUF GAMING F15 FX506HF 15.6 INCH FULL HD 144HZ DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD GAMING LAPTOP WITH RTX 2050 4GB GRAPHICS (OFF BLACK),"98,000৳","197,000৳",In Stock,Asus,TUF Gaming F15 FX506HF,2 Years,"['Intel Core i5-11400H Processor ', '8GB DDR4 RAM | 512GB SSD', '15.6"" 1920 x 1080 Full HD 300Hz Display', 'RTX 2050 4GB Graphics']",Intel Integrated SoC,8GB DDR4 SO-DIMM RAM,512GB PCIe® 3.0 NVMe™ M.2 SSD,"48Wh 3-Cell Lithium-Ion,
Up To 8 Hours Of Battery Life",Windows 11 Home,OFF Black
Asus ExpertBook BR1100FKA 11.6 Inch HD Touch Display Intel Celeron N4500 4GB RAM 256GB SSD 2 In 1 Laptop With Active Pen,"54,500৳","47,500৳",In Stock,Asus,ExpertBook BR1100FKA,3 Years,"['Intel Celeron N4500 Processor ', '8GB 3200MHz RAM', '512GB M.2 NVMe PCIe 3.0 SSD', '11.6"" LCD HD Touch Display']",Intel Integrated SoC,4GB DDR4,256GB M.2 NVMe PCIe 3.0 SSD,"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 11 License,Dark Grey
ASUS D515DA 15.6 Inch Full HD Display Ryzen 3 3250U 4GB RAM 512GB SSD Laptop,"48,900৳","47,500৳",In Stock,Asus,D515DA,2 Years,"['AMD Ryzen 3 3250U Processor', '512GB M.2 NVMe PCIe 3.0 SSD', '15.6-inch, FHD (1920 x 1080) Display', '4GB DDR4 onboard Memory']",Intel Integrated SoC,"4GB DDR4 Onboard,
Memory Max Up To:16GB",512GB M.2 NVMe PCIe 3.0 SSD (Extra 2.5” SATA HDD Slot Available ),"37WHrs, 2S1P, 2-Cell Li-Ion",Windows 11 Home,SLATE GREY / PEACOCK BLUE
ASUS D415DA 14 Inch HD Display Ryzen 3 3250U 4GB RAM 1TB HDD Laptop,"46,500৳","47,500৳",In Stock,Asus,D415DA,2 Years,"['AMD Ryzen 3 3250U Processor', '1TB SATA 5400RPM 2.5"" HDD', '14-inch, HD (1366 x 768) Display', '4GB DDR4 onboard Memory']",Intel Integrated SoC,"4GB DDR4 Onboard,
Memory Max Up To:16GB","1TB SATA 5400RPM 2.5"" HDD","37WHrs, 2S1P, 2-Cell Li-Ion",Windows 11 Home,Slate Grey
Apple Macbook Air M2 13.6 Inch Liquid Retina Display M2 Chip 8GB RAM 256GB SSD Laptop (Silver),"165,000৳","142,000৳",In Stock,Apple,Macbook Air M2,1 Year,[],"Apple M2 Chip
8-Core CPU With 4 Performance Cores And 4 Efficiency Cores",8GB Unified Memory,256GB SSD,"Up To 18 Hours Of Apple TV App Movie Playback
Up To 15 Hours Of Wireless Web
52.6-Watt-Hour Lithium‑Polymer Battery",MacOS,Silver
Apple MacBook Air (MGND3) 13.3-Inch Full HD Retina Display M1 Chip 8GB RAM 256GB SSD Laptop (Gold),"109,000৳","142,000৳",In Stock,Apple,MacBook Air,1 Year,"['Chipset: Apple M1', 'Memory: 8GB', 'Storage: 256GB SSD', 'WebCam:  720p FaceTime HD camera']",Apple M1 (8-Core CPU With 4 Perform­Ance Cores And 4 Efficiency Cores 7-Core GPU 16-Core Neural Engine),8GB Unified Memory (Configurable To:16GB),"256GB SSD Configurable To:(512GB, 1TB, Or 2TB)",Lithium-Ion Polymer (LiPo) Capacity Non-Removable: 49.9 Wh Maximum Runtime: 18 Hours,MacOS,Gold
